state,action,reward,next_state,done
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
12,0,-1,112,False
112,2,-1,132,False
132,0,-1,232,False
232,2,-1,252,False
252,2,-1,272,False
272,0,-1,372,False
372,0,-1,472,False
472,4,-1,476,False
476,1,-1,376,False
376,1,-1,276,False
276,3,-1,256,False
256,3,-1,236,False
236,1,-1,136,False
136,1,-1,36,False
36,3,-1,16,False
16,5,20,0,True
92,0,-1,192,False
192,0,-1,292,False
292,3,-1,272,False
272,0,-1,372,False
372,0,-1,472,False
472,4,-1,476,False
476,1,-1,376,False
376,1,-1,276,False
276,3,-1,256,False
256,3,-1,236,False
236,1,-1,136,False
136,1,-1,36,False
36,3,-1,16,False
16,5,20,0,True
183,0,-1,283,False
283,3,-1,263,False
263,3,-1,243,False
243,3,-1,223,False
223,1,-1,123,False
123,1,-1,23,False
23,3,-1,3,False
3,4,-1,19,False
19,0,-1,119,False
119,0,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
42,0,-1,142,False
142,0,-1,242,False
242,3,-1,222,False
222,1,-1,122,False
122,1,-1,22,False
22,3,-1,2,False
2,4,-1,18,False
18,0,-1,118,False
118,0,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
54,0,-1,154,False
154,2,-1,174,False
174,0,-1,274,False
274,0,-1,374,False
374,0,-1,474,False
474,4,-1,478,False
478,1,-1,378,False
378,1,-1,278,False
278,3,-1,258,False
258,3,-1,238,False
238,3,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
461,1,-1,361,False
361,1,-1,261,False
261,3,-1,241,False
241,3,-1,221,False
221,1,-1,121,False
121,1,-1,21,False
21,3,-1,1,False
1,4,-1,17,False
17,0,-1,117,False
117,0,-1,217,False
217,2,-1,237,False
237,2,-1,257,False
257,1,-1,157,False
157,1,-1,57,False
57,2,-1,77,False
77,2,-1,97,False
97,5,20,85,True
326,1,-1,226,False
226,2,-1,246,False
246,1,-1,146,False
146,1,-1,46,False
46,2,-1,66,False
66,2,-1,86,False
86,4,-1,98,False
98,0,-1,198,False
198,0,-1,298,False
298,3,-1,278,False
278,3,-1,258,False
258,3,-1,238,False
238,3,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
492,3,-1,472,False
472,4,-1,476,False
476,1,-1,376,False
376,1,-1,276,False
276,3,-1,256,False
256,3,-1,236,False
236,1,-1,136,False
136,1,-1,36,False
36,3,-1,16,False
16,5,20,0,True
43,0,-1,143,False
143,0,-1,243,False
243,3,-1,223,False
223,1,-1,123,False
123,1,-1,23,False
23,3,-1,3,False
3,4,-1,19,False
19,0,-1,119,False
119,0,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
421,1,-1,321,False
321,1,-1,221,False
221,1,-1,121,False
121,1,-1,21,False
21,3,-1,1,False
1,4,-1,17,False
17,0,-1,117,False
117,0,-1,217,False
217,2,-1,237,False
237,2,-1,257,False
257,1,-1,157,False
157,1,-1,57,False
57,2,-1,77,False
77,2,-1,97,False
97,5,20,85,True
209,0,-1,309,False
309,0,-1,409,False
409,4,-1,417,False
417,1,-1,317,False
317,1,-1,217,False
217,2,-1,237,False
237,2,-1,257,False
257,1,-1,157,False
157,1,-1,57,False
57,2,-1,77,False
77,2,-1,97,False
97,5,20,85,True
423,1,-1,323,False
323,1,-1,223,False
223,1,-1,123,False
123,1,-1,23,False
23,3,-1,3,False
3,4,-1,19,False
19,0,-1,119,False
119,0,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
387,1,-1,287,False
287,1,-1,187,False
187,1,-1,87,False
87,4,-1,99,False
99,0,-1,199,False
199,0,-1,299,False
299,0,-1,399,False
399,0,-1,499,False
499,3,-1,479,False
479,5,20,475,True
366,1,-1,266,False
266,2,-1,286,False
286,1,-1,186,False
186,1,-1,86,False
86,4,-1,98,False
98,0,-1,198,False
198,0,-1,298,False
298,3,-1,278,False
278,3,-1,258,False
258,3,-1,238,False
238,3,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
231,3,-1,211,False
211,0,-1,311,False
311,0,-1,411,False
411,4,-1,419,False
419,1,-1,319,False
319,1,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
312,1,-1,212,False
212,2,-1,232,False
232,2,-1,252,False
252,2,-1,272,False
272,0,-1,372,False
372,0,-1,472,False
472,4,-1,476,False
476,1,-1,376,False
376,1,-1,276,False
276,3,-1,256,False
256,3,-1,236,False
236,1,-1,136,False
136,1,-1,36,False
36,3,-1,16,False
16,5,20,0,True
373,0,-1,473,False
473,4,-1,477,False
477,1,-1,377,False
377,1,-1,277,False
277,1,-1,177,False
177,1,-1,77,False
77,2,-1,97,False
97,5,20,85,True
351,3,-1,331,False
331,1,-1,231,False
231,3,-1,211,False
211,0,-1,311,False
311,0,-1,411,False
411,4,-1,419,False
419,1,-1,319,False
319,1,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
392,3,-1,372,False
372,0,-1,472,False
472,4,-1,476,False
476,1,-1,376,False
376,1,-1,276,False
276,3,-1,256,False
256,3,-1,236,False
236,1,-1,136,False
136,1,-1,36,False
36,3,-1,16,False
16,5,20,0,True
1,4,-1,17,False
17,0,-1,117,False
117,0,-1,217,False
217,2,-1,237,False
237,2,-1,257,False
257,1,-1,157,False
157,1,-1,57,False
57,2,-1,77,False
77,2,-1,97,False
97,5,20,85,True
392,3,-1,372,False
372,0,-1,472,False
472,4,-1,476,False
476,1,-1,376,False
376,1,-1,276,False
276,3,-1,256,False
256,3,-1,236,False
236,1,-1,136,False
136,1,-1,36,False
36,3,-1,16,False
16,5,20,0,True
374,0,-1,474,False
474,4,-1,478,False
478,1,-1,378,False
378,1,-1,278,False
278,3,-1,258,False
258,3,-1,238,False
238,3,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
2,4,-1,18,False
18,0,-1,118,False
118,0,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
466,1,-1,366,False
366,1,-1,266,False
266,2,-1,286,False
286,1,-1,186,False
186,1,-1,86,False
86,4,-1,98,False
98,0,-1,198,False
198,0,-1,298,False
298,3,-1,278,False
278,3,-1,258,False
258,3,-1,238,False
238,3,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
414,1,-1,314,False
314,1,-1,214,False
214,2,-1,234,False
234,2,-1,254,False
254,2,-1,274,False
274,0,-1,374,False
374,0,-1,474,False
474,4,-1,478,False
478,1,-1,378,False
378,1,-1,278,False
278,3,-1,258,False
258,3,-1,238,False
238,3,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
93,0,-1,193,False
193,0,-1,293,False
293,0,-1,393,False
393,3,-1,373,False
373,0,-1,473,False
473,4,-1,477,False
477,1,-1,377,False
377,1,-1,277,False
277,1,-1,177,False
177,1,-1,77,False
77,2,-1,97,False
97,5,20,85,True
34,0,-1,134,False
134,0,-1,234,False
234,2,-1,254,False
254,2,-1,274,False
274,0,-1,374,False
374,0,-1,474,False
474,4,-1,478,False
478,1,-1,378,False
378,1,-1,278,False
278,3,-1,258,False
258,3,-1,238,False
238,3,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
114,0,-1,214,False
214,2,-1,234,False
234,2,-1,254,False
254,2,-1,274,False
274,0,-1,374,False
374,0,-1,474,False
474,4,-1,478,False
478,1,-1,378,False
378,1,-1,278,False
278,3,-1,258,False
258,3,-1,238,False
238,3,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
389,3,-1,369,False
369,1,-1,269,False
269,3,-1,249,False
249,3,-1,229,False
229,3,-1,209,False
209,0,-1,309,False
309,0,-1,409,False
409,4,-1,417,False
417,1,-1,317,False
317,1,-1,217,False
217,2,-1,237,False
237,2,-1,257,False
257,1,-1,157,False
157,1,-1,57,False
57,2,-1,77,False
77,2,-1,97,False
97,5,20,85,True
227,2,-1,247,False
247,1,-1,147,False
147,1,-1,47,False
47,2,-1,67,False
67,2,-1,87,False
87,4,-1,99,False
99,0,-1,199,False
199,0,-1,299,False
299,0,-1,399,False
399,0,-1,499,False
499,3,-1,479,False
479,5,20,475,True
287,1,-1,187,False
187,1,-1,87,False
87,4,-1,99,False
99,0,-1,199,False
199,0,-1,299,False
299,0,-1,399,False
399,0,-1,499,False
499,3,-1,479,False
479,5,20,475,True
406,1,-1,306,False
306,1,-1,206,False
206,2,-1,226,False
226,2,-1,246,False
246,1,-1,146,False
146,1,-1,46,False
46,2,-1,66,False
66,2,-1,86,False
86,4,-1,98,False
98,0,-1,198,False
198,0,-1,298,False
298,3,-1,278,False
278,3,-1,258,False
258,3,-1,238,False
238,3,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
88,0,-1,188,False
188,0,-1,288,False
288,3,-1,268,False
268,3,-1,248,False
248,3,-1,228,False
228,3,-1,208,False
208,0,-1,308,False
308,0,-1,408,False
408,4,-1,416,False
416,1,-1,316,False
316,1,-1,216,False
216,1,-1,116,False
116,1,-1,16,False
16,5,20,0,True
291,3,-1,271,False
271,3,-1,251,False
251,3,-1,231,False
231,3,-1,211,False
211,0,-1,311,False
311,0,-1,411,False
411,4,-1,419,False
419,1,-1,319,False
319,1,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
103,1,-1,3,False
3,4,-1,19,False
19,0,-1,119,False
119,0,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
324,1,-1,224,False
224,2,-1,244,False
244,1,-1,144,False
144,2,-1,164,False
164,1,-1,64,False
64,2,-1,84,False
84,4,-1,96,False
96,0,-1,196,False
196,0,-1,296,False
296,3,-1,276,False
276,3,-1,256,False
256,3,-1,236,False
236,1,-1,136,False
136,1,-1,36,False
36,3,-1,16,False
16,5,20,0,True
286,1,-1,186,False
186,1,-1,86,False
86,4,-1,98,False
98,0,-1,198,False
198,0,-1,298,False
298,3,-1,278,False
278,3,-1,258,False
258,3,-1,238,False
238,3,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
263,3,-1,243,False
243,3,-1,223,False
223,1,-1,123,False
123,1,-1,23,False
23,3,-1,3,False
3,4,-1,19,False
19,0,-1,119,False
119,0,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
306,1,-1,206,False
206,2,-1,226,False
226,2,-1,246,False
246,1,-1,146,False
146,1,-1,46,False
46,2,-1,66,False
66,2,-1,86,False
86,4,-1,98,False
98,0,-1,198,False
198,0,-1,298,False
298,3,-1,278,False
278,3,-1,258,False
258,3,-1,238,False
238,3,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
261,3,-1,241,False
241,3,-1,221,False
221,1,-1,121,False
121,1,-1,21,False
21,3,-1,1,False
1,4,-1,17,False
17,0,-1,117,False
117,0,-1,217,False
217,2,-1,237,False
237,2,-1,257,False
257,1,-1,157,False
157,1,-1,57,False
57,2,-1,77,False
77,2,-1,97,False
97,5,20,85,True
122,1,-1,22,False
22,3,-1,2,False
2,4,-1,18,False
18,0,-1,118,False
118,0,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
371,1,-1,271,False
271,3,-1,251,False
251,3,-1,231,False
231,3,-1,211,False
211,0,-1,311,False
311,0,-1,411,False
411,4,-1,419,False
419,1,-1,319,False
319,1,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
446,1,-1,346,False
346,1,-1,246,False
246,1,-1,146,False
146,1,-1,46,False
46,2,-1,66,False
66,2,-1,86,False
86,4,-1,98,False
98,0,-1,198,False
198,0,-1,298,False
298,3,-1,278,False
278,3,-1,258,False
258,3,-1,238,False
238,3,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
488,1,-1,388,False
388,1,-1,288,False
288,3,-1,268,False
268,3,-1,248,False
248,3,-1,228,False
228,3,-1,208,False
208,0,-1,308,False
308,0,-1,408,False
408,4,-1,416,False
416,1,-1,316,False
316,1,-1,216,False
216,1,-1,116,False
116,1,-1,16,False
16,5,20,0,True
443,3,-1,423,False
423,1,-1,323,False
323,1,-1,223,False
223,1,-1,123,False
123,1,-1,23,False
23,3,-1,3,False
3,4,-1,19,False
19,0,-1,119,False
119,0,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
252,2,-1,272,False
272,0,-1,372,False
372,0,-1,472,False
472,4,-1,476,False
476,1,-1,376,False
376,1,-1,276,False
276,3,-1,256,False
256,3,-1,236,False
236,1,-1,136,False
136,1,-1,36,False
36,3,-1,16,False
16,5,20,0,True
248,3,-1,228,False
228,3,-1,208,False
208,0,-1,308,False
308,0,-1,408,False
408,4,-1,416,False
416,1,-1,316,False
316,1,-1,216,False
216,1,-1,116,False
116,1,-1,16,False
16,5,20,0,True
149,0,-1,249,False
249,3,-1,229,False
229,3,-1,209,False
209,0,-1,309,False
309,0,-1,409,False
409,4,-1,417,False
417,1,-1,317,False
317,1,-1,217,False
217,2,-1,237,False
237,2,-1,257,False
257,1,-1,157,False
157,1,-1,57,False
57,2,-1,77,False
77,2,-1,97,False
97,5,20,85,True
208,0,-1,308,False
308,0,-1,408,False
408,4,-1,416,False
416,1,-1,316,False
316,1,-1,216,False
216,1,-1,116,False
116,1,-1,16,False
16,5,20,0,True
69,0,-1,169,False
169,0,-1,269,False
269,3,-1,249,False
249,3,-1,229,False
229,3,-1,209,False
209,0,-1,309,False
309,0,-1,409,False
409,4,-1,417,False
417,1,-1,317,False
317,1,-1,217,False
217,2,-1,237,False
237,2,-1,257,False
257,1,-1,157,False
157,1,-1,57,False
57,2,-1,77,False
77,2,-1,97,False
97,5,20,85,True
101,1,-1,1,False
1,4,-1,17,False
17,0,-1,117,False
117,0,-1,217,False
217,2,-1,237,False
237,2,-1,257,False
257,1,-1,157,False
157,1,-1,57,False
57,2,-1,77,False
77,2,-1,97,False
97,5,20,85,True
93,0,-1,193,False
193,0,-1,293,False
293,0,-1,393,False
393,3,-1,373,False
373,0,-1,473,False
473,4,-1,477,False
477,1,-1,377,False
377,1,-1,277,False
277,1,-1,177,False
177,1,-1,77,False
77,2,-1,97,False
97,5,20,85,True
323,1,-1,223,False
223,1,-1,123,False
123,1,-1,23,False
23,3,-1,3,False
3,4,-1,19,False
19,0,-1,119,False
119,0,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
102,1,-1,2,False
2,4,-1,18,False
18,0,-1,118,False
118,0,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
61,0,-1,161,False
161,3,-1,141,False
141,0,-1,241,False
241,3,-1,221,False
221,1,-1,121,False
121,1,-1,21,False
21,3,-1,1,False
1,4,-1,17,False
17,0,-1,117,False
117,0,-1,217,False
217,2,-1,237,False
237,2,-1,257,False
257,1,-1,157,False
157,1,-1,57,False
57,2,-1,77,False
77,2,-1,97,False
97,5,20,85,True
229,3,-1,209,False
209,0,-1,309,False
309,0,-1,409,False
409,4,-1,417,False
417,1,-1,317,False
317,1,-1,217,False
217,2,-1,237,False
237,2,-1,257,False
257,1,-1,157,False
157,1,-1,57,False
57,2,-1,77,False
77,2,-1,97,False
97,5,20,85,True
2,4,-1,18,False
18,0,-1,118,False
118,0,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
262,3,-1,242,False
242,3,-1,222,False
222,1,-1,122,False
122,1,-1,22,False
22,3,-1,2,False
2,4,-1,18,False
18,0,-1,118,False
118,0,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
42,0,-1,142,False
142,0,-1,242,False
242,3,-1,222,False
222,1,-1,122,False
122,1,-1,22,False
22,3,-1,2,False
2,4,-1,18,False
18,0,-1,118,False
118,0,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
248,3,-1,228,False
228,3,-1,208,False
208,0,-1,308,False
308,0,-1,408,False
408,4,-1,416,False
416,1,-1,316,False
316,1,-1,216,False
216,1,-1,116,False
116,1,-1,16,False
16,5,20,0,True
392,3,-1,372,False
372,0,-1,472,False
472,4,-1,476,False
476,1,-1,376,False
376,1,-1,276,False
276,3,-1,256,False
256,3,-1,236,False
236,1,-1,136,False
136,1,-1,36,False
36,3,-1,16,False
16,5,20,0,True
343,3,-1,323,False
323,1,-1,223,False
223,1,-1,123,False
123,1,-1,23,False
23,3,-1,3,False
3,4,-1,19,False
19,0,-1,119,False
119,0,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
81,0,-1,181,False
181,3,-1,161,False
161,3,-1,141,False
141,0,-1,241,False
241,3,-1,221,False
221,1,-1,121,False
121,1,-1,21,False
21,3,-1,1,False
1,4,-1,17,False
17,0,-1,117,False
117,0,-1,217,False
217,2,-1,237,False
237,2,-1,257,False
257,1,-1,157,False
157,1,-1,57,False
57,2,-1,77,False
77,2,-1,97,False
97,5,20,85,True
424,1,-1,324,False
324,1,-1,224,False
224,2,-1,244,False
244,1,-1,144,False
144,2,-1,164,False
164,1,-1,64,False
64,2,-1,84,False
84,4,-1,96,False
96,0,-1,196,False
196,0,-1,296,False
296,3,-1,276,False
276,3,-1,256,False
256,3,-1,236,False
236,1,-1,136,False
136,1,-1,36,False
36,3,-1,16,False
16,5,20,0,True
208,0,-1,308,False
308,0,-1,408,False
408,4,-1,416,False
416,1,-1,316,False
316,1,-1,216,False
216,1,-1,116,False
116,1,-1,16,False
16,5,20,0,True
351,3,-1,331,False
331,1,-1,231,False
231,3,-1,211,False
211,0,-1,311,False
311,0,-1,411,False
411,4,-1,419,False
419,1,-1,319,False
319,1,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
268,3,-1,248,False
248,3,-1,228,False
228,3,-1,208,False
208,0,-1,308,False
308,0,-1,408,False
408,4,-1,416,False
416,1,-1,316,False
316,1,-1,216,False
216,1,-1,116,False
116,1,-1,16,False
16,5,20,0,True
406,1,-1,306,False
306,1,-1,206,False
206,2,-1,226,False
226,2,-1,246,False
246,1,-1,146,False
146,1,-1,46,False
46,2,-1,66,False
66,2,-1,86,False
86,4,-1,98,False
98,0,-1,198,False
198,0,-1,298,False
298,3,-1,278,False
278,3,-1,258,False
258,3,-1,238,False
238,3,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
463,1,-1,363,False
363,1,-1,263,False
263,3,-1,243,False
243,3,-1,223,False
223,1,-1,123,False
123,1,-1,23,False
23,3,-1,3,False
3,4,-1,19,False
19,0,-1,119,False
119,0,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
294,0,-1,394,False
394,3,-1,374,False
374,0,-1,474,False
474,4,-1,478,False
478,1,-1,378,False
378,1,-1,278,False
278,3,-1,258,False
258,3,-1,238,False
238,3,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
23,3,-1,3,False
3,4,-1,19,False
19,0,-1,119,False
119,0,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
272,0,-1,372,False
372,0,-1,472,False
472,4,-1,476,False
476,1,-1,376,False
376,1,-1,276,False
276,3,-1,256,False
256,3,-1,236,False
236,1,-1,136,False
136,1,-1,36,False
36,3,-1,16,False
16,5,20,0,True
391,1,-1,291,False
291,3,-1,271,False
271,3,-1,251,False
251,3,-1,231,False
231,3,-1,211,False
211,0,-1,311,False
311,0,-1,411,False
411,4,-1,419,False
419,1,-1,319,False
319,1,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
294,0,-1,394,False
394,3,-1,374,False
374,0,-1,474,False
474,4,-1,478,False
478,1,-1,378,False
378,1,-1,278,False
278,3,-1,258,False
258,3,-1,238,False
238,3,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
67,2,-1,87,False
87,4,-1,99,False
99,0,-1,199,False
199,0,-1,299,False
299,0,-1,399,False
399,0,-1,499,False
499,3,-1,479,False
479,5,20,475,True
267,2,-1,287,False
287,1,-1,187,False
187,1,-1,87,False
87,4,-1,99,False
99,0,-1,199,False
199,0,-1,299,False
299,0,-1,399,False
399,0,-1,499,False
499,3,-1,479,False
479,5,20,475,True
52,0,-1,152,False
152,2,-1,172,False
172,0,-1,272,False
272,0,-1,372,False
372,0,-1,472,False
472,4,-1,476,False
476,1,-1,376,False
376,1,-1,276,False
276,3,-1,256,False
256,3,-1,236,False
236,1,-1,136,False
136,1,-1,36,False
36,3,-1,16,False
16,5,20,0,True
31,0,-1,131,False
131,0,-1,231,False
231,3,-1,211,False
211,0,-1,311,False
311,0,-1,411,False
411,4,-1,419,False
419,1,-1,319,False
319,1,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
489,3,-1,469,False
469,1,-1,369,False
369,1,-1,269,False
269,3,-1,249,False
249,3,-1,229,False
229,3,-1,209,False
209,0,-1,309,False
309,0,-1,409,False
409,4,-1,417,False
417,1,-1,317,False
317,1,-1,217,False
217,2,-1,237,False
237,2,-1,257,False
257,1,-1,157,False
157,1,-1,57,False
57,2,-1,77,False
77,2,-1,97,False
97,5,20,85,True
22,3,-1,2,False
2,4,-1,18,False
18,0,-1,118,False
118,0,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
406,1,-1,306,False
306,1,-1,206,False
206,2,-1,226,False
226,2,-1,246,False
246,1,-1,146,False
146,1,-1,46,False
46,2,-1,66,False
66,2,-1,86,False
86,4,-1,98,False
98,0,-1,198,False
198,0,-1,298,False
298,3,-1,278,False
278,3,-1,258,False
258,3,-1,238,False
238,3,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
301,1,-1,201,False
201,1,-1,101,False
101,1,-1,1,False
1,4,-1,17,False
17,0,-1,117,False
117,0,-1,217,False
217,2,-1,237,False
237,2,-1,257,False
257,1,-1,157,False
157,1,-1,57,False
57,2,-1,77,False
77,2,-1,97,False
97,5,20,85,True
349,3,-1,329,False
329,1,-1,229,False
229,3,-1,209,False
209,0,-1,309,False
309,0,-1,409,False
409,4,-1,417,False
417,1,-1,317,False
317,1,-1,217,False
217,2,-1,237,False
237,2,-1,257,False
257,1,-1,157,False
157,1,-1,57,False
57,2,-1,77,False
77,2,-1,97,False
97,5,20,85,True
448,3,-1,428,False
428,1,-1,328,False
328,1,-1,228,False
228,3,-1,208,False
208,0,-1,308,False
308,0,-1,408,False
408,4,-1,416,False
416,1,-1,316,False
316,1,-1,216,False
216,1,-1,116,False
116,1,-1,16,False
16,5,20,0,True
346,1,-1,246,False
246,1,-1,146,False
146,1,-1,46,False
46,2,-1,66,False
66,2,-1,86,False
86,4,-1,98,False
98,0,-1,198,False
198,0,-1,298,False
298,3,-1,278,False
278,3,-1,258,False
258,3,-1,238,False
238,3,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
472,4,-1,476,False
476,1,-1,376,False
376,1,-1,276,False
276,3,-1,256,False
256,3,-1,236,False
236,1,-1,136,False
136,1,-1,36,False
36,3,-1,16,False
16,5,20,0,True
164,1,-1,64,False
64,2,-1,84,False
84,4,-1,96,False
96,0,-1,196,False
196,0,-1,296,False
296,3,-1,276,False
276,3,-1,256,False
256,3,-1,236,False
236,1,-1,136,False
136,1,-1,36,False
36,3,-1,16,False
16,5,20,0,True
341,1,-1,241,False
241,3,-1,221,False
221,1,-1,121,False
121,1,-1,21,False
21,3,-1,1,False
1,4,-1,17,False
17,0,-1,117,False
117,0,-1,217,False
217,2,-1,237,False
237,2,-1,257,False
257,1,-1,157,False
157,1,-1,57,False
57,2,-1,77,False
77,2,-1,97,False
97,5,20,85,True
487,1,-1,387,False
387,1,-1,287,False
287,1,-1,187,False
187,1,-1,87,False
87,4,-1,99,False
99,0,-1,199,False
199,0,-1,299,False
299,0,-1,399,False
399,0,-1,499,False
499,3,-1,479,False
479,5,20,475,True
108,0,-1,208,False
208,0,-1,308,False
308,0,-1,408,False
